"","c_chief","c_lcDisagreement","c_lcDispositionDirection","c_issueArea","c_adminActionBool","c_oralArgBool","c_reargBool","c_decisionTime","c_formerCourt","c_caseOriginRegion","c_caseOriginCourt","e_houseMajority","e_senateMajority","e_decisionPresidentParty","e_JCApproval","j_justiceDecisionAgeBand","j_justiceRegion","j_justiceReligion","j_justiceEthnicity","j_justicePresidentParty","j_justiceVotesAppointed","direction"
"1","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Liberal"
"2","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"3","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Liberal"
"4","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"5","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Liberal"
"6","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"7","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"8","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"9","Rehnquist",0,"Conservative","Judicial Power",1,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"10","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"11","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"12","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"13","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"14","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"15","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"16","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"17","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"18","Rehnquist",1,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"19","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",0,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"20","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Conservative"
"21","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",0,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"22","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"23","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"24","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Conservative"
"25","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"26","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Conservative"
"27","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Northeast","Trial Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Conservative"
"28","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",0,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"29","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
