c_chief,c_lcDisagreement,c_lcDispositionDirection,c_issueArea,c_adminActionBool,c_oralArgBool,c_reargBool,c_decisionTime,c_formerCourt,c_caseOriginRegion,c_caseOriginCourt,direction
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,0,South,District Court,Liberal
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,0,South,District Court,Liberal
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Conservative
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Conservative
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,0,Conservative,Judicial Power,1,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,0,South,District Court,Conservative
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,0,South,District Court,Conservative
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Conservative
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Conservative
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Conservative
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,1,Conservative,Federalism,0,1,0,31-180 Days,1,South,District Court,Liberal
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,0,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,0,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Northeast,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,0,Midwest,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Midwest,Trial Court,Liberal
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,0,Midwest,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Midwest,Trial Court,Conservative
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,Midwest,Trial Court,Conservative
